"categoria","data","lancamento","valor","dt_competencia"
Outros,2022-10-17,Ebw*shopee        02/02,15.26,2025-03-06
Outros,2022-10-17,Ebw*shopee        02/02,15.16,2025-03-06
Outros,2022-10-17,Ebw*shopee,-0.01,2025-03-06
Pet,2022-10-18,Amazon Marketplace02/03,50.0,2025-03-06
Utilidade Casa,2022-10-22,Brastemp E Rede   02/10,208.9,2025-03-06
Livros,2022-10-26,Google Play,0.6,2025-03-06
Livros,2022-10-26,Google Play,2.99,2025-03-06
Restaurante,2022-10-26,Ifd*osnir Hamburguer,35.89,2025-03-06
Restaurante,2022-10-30,Market4u*compra*951720,14.28,2025-03-06
Utilidade Casa,2022-11-01,Amazon.com.br,33.9,2025-03-06
Utilidade Casa,2022-11-01,Amazon.com.br,22.84,2025-03-06
Utilidade Casa,2022-11-04,Amazon.com.br,31.78,2025-03-06
Restaurante,2022-11-06,Market4u*compra*962989,4.49,2025-03-06
Restaurante,2022-11-06,Market4u*compra*971635,7.49,2025-03-06
Restaurante,2022-11-07,Market4u*compra*974156,12.96,2025-03-06
Seguro,2022-11-09,Bradesco Seguros Auto,83.56,2025-03-06
Outros,2022-11-09,Mercadolivre*mercadol,58.44,2025-03-06
Manutenção,2022-11-09,Mercadolivre*merca01/03,78.22,2025-03-06
Restaurante,2022-11-12,Amazonprimebr,12.1,2025-03-06
Restaurante,2022-11-13,Market4u*compra*985587,10.49,2025-03-06
Assinatura,2022-11-13,Google Storage,34.99,2025-03-06
Outros,2022-11-16,Mercadolivre*neves,20.1,2025-03-06
Internet,2022-11-17,Tbra,259.64,2025-03-06
Restaurante,2022-11-17,Market4u*compra*994361,4.99,2025-03-06
Locomoção,2022-11-17,Uber   *uber   *trip,5.0,2025-03-06
Locomoção,2022-11-17,Uber   *uber   *trip,24.93,2025-03-06
Locomoção,2022-11-17,Uber   *uber   *trip,29.91,2025-03-06
Locomoção,2022-11-18,Uber   *uber   *trip,23.01,2025-03-06
Locomoção,2022-11-18,Uber   *uber   *trip,19.98,2025-03-06
Locomoção,2022-11-18,Uber *trip Help.uber.c,39.96,2025-03-06
Locomoção,2022-11-18,Uber *trip Help.uber.c,39.92,2025-03-06
Locomoção,2022-11-19,Market4u*compra*998071,3.15,2025-03-06
Assinatura,2022-11-19,Google Youtubepremium,18.1,2025-03-06
Outros,2022-11-21,Mercadolivre*mercadol,14.21,2025-03-06
Outros,2022-11-21,Mercadolivre*mercadol,-58.44,2025-03-06
Outros,2022-11-21,Mercadolivre*merca01/03,11.51,2025-03-06
Restaurante,2022-11-25,Market4u*compra*101193,13.52,2025-03-06
Locomoção,2022-11-17,dólar de conversão,5.78,2025-03-06
Locomoção,2022-11-06,dólar de conversão,5.32,2025-03-06
Locomoção,2022-11-20,Iof Parcelado Emissor,0.92,2025-03-06
Outros,2022-11-30,DE ALGUM LUGAR DESCONHECIDO,33.65,2025-03-06
Assinatura,,Kinvo,59.95,2025-03-06
Planos,2022-06-20,Latam Site,558.44,2025-03-06
Aluguel,2022-08-19,Quintoandar       03/05,45.8,2025-03-06
Utilidade Casa,2022-09-09,Leroy Merlin      02/04,109.73,2025-03-06
Utilidade Casa,2022-09-09,Leroy Merlin,-0.06,2025-03-06
Planos,2022-09-11,Elaza Comercial Va02/10,290.0,2025-03-06
Eletrônico,2022-09-13,Aliexpress        02/06,20.87,2025-03-06
Eletrônico,2022-09-13,Aliexpress        02/06,20.1,2025-03-06
Eletrônico,2022-09-13,Aliexpress,-0.1,2025-03-06
Pet,2022-09-15,Cobasi Imigrantes 02/03,116.64,2025-03-06
Pet,2022-09-15,Cobasi Imigrantes,-0.02,2025-03-06
Vestimenta,2022-09-16,Renner            02/05,43.96,2025-03-06
Assinatura,2022-09-27,Anuidade Diferenci04/08,54.0,2025-03-06
Alimentação,2022-09-27,Pag*josecarlosdeaguia,2.0,2025-03-06
Alimentação,2022-09-27,Francisco Me-ct,36.0,2025-03-06
Alimentação,2022-09-27,Progresso   -ct,22.0,2025-03-06
Alimentação,2022-09-27,Cacchero    -ct,10.0,2025-03-06
Alimentação,2022-09-27,Delcy       -ct,8.0,2025-03-06
Utilidade Casa,2022-10-09,Cursino,82.7,2025-03-06
Alimentação,2022-10-11,Pag*equipepr-ct Sso,19.0,2025-03-06
Alimentação,2022-10-11,Francisco Mekaru,36.0,2025-03-06
Alimentação,2022-10-11,Betocacherro-ct,10.0,2025-03-06
Restaurante,2022-10-12,Viena Shoppi-ct Laza S,12.1,2025-03-06
Utilidade Casa,2022-10-12,Daiso Brasil-ct,90.43,2025-03-06
Vestimenta,2022-10-12,Lojas Renner Fl 5201/02,69.95,2025-03-06
Restaurante,2022-10-15,Imigrantes B-ct As,86.97,2025-03-06
Produtos Saúde,2022-10-15,Drogaria Sao-ct Lo 002,77.56,2025-03-06
Assinatura,2022-10-18,Ppro   *microsoft,29.99,2025-03-06
Alimentação,2022-10-18,Francisco Me-ct,36.0,2025-03-06
Alimentação,2022-10-18,Betocacherro,10.0,2025-03-06
Utilidade Casa,2022-10-22,Telha Norte -ct,27.91,2025-03-06
Alimentação,2022-10-23,Pag*mercadoobaoba,6.68,2025-03-06
Utilidade Casa,2022-10-26,Telha Norte -ct,67.15,2025-03-06
Pet,2022-09-15,Clin Vet Pet-ct La02/02,145.5,2025-03-06
Outros,2022-09-30,Kalunga Matr-ct Mk,16.1,2025-03-06
Pet,2022-09-30,Cobasi Pet Facil Ricar,98.8,2025-03-06
Higiene Pessoal,2022-10-01,Hna*oboticar-ct,48.9,2025-03-06
Utilidade Casa,2022-10-01,Precolandia       01/03,38.54,2025-03-06
Alimentação,2022-10-04,Francisco Me-ct,37.0,2025-03-06
Alimentação,2022-10-04,Barraca Madu-ct A,10.1,2025-03-06
Alimentação,2022-10-04,Pag*gleiserl-ct Dos,8.0,2025-03-06
Alimentação,2022-10-04,Pag*luizcarl-ct S,20.0,2025-03-06
Alimentação,2022-10-04,Progresso   -ct,20.0,2025-03-06
Alimentação,2022-10-04,Betocacherro-ct,10.0,2025-03-06
Alimentação,2022-10-04,Cosmoferreir-ct,16.0,2025-03-06
Produtos Saúde,2022-10-06,Drogaria Pau-ct,23.1,2025-03-06
Alimentação,2022-10-10,Cornershop Brasil Tecn,25.1,2025-03-06
Alimentação,2022-10-10,Cornershop Brasil Tecn,193.04,2025-03-06
Alimentação,2022-10-11,Barraca Alle-ct Nrique,14.0,2025-03-06
Alimentação,2022-10-12,Supermercado-ct A Das,148.48,2025-03-06
Alimentação,2022-10-14,Cornershop Brasil Tecn,174.7,2025-03-06
Restaurante,2022-10-16,Ifd*osnir Hamburguer,72.8,2025-03-06
Alimentação,2022-10-18,Cornershop Brasil Tecn,3.91,2025-03-06
Alimentação,2022-10-18,Cornershop Brasil Tecn,249.04,2025-03-06
Restaurante,2022-10-20,Ifood       *ifood,56.29,2025-03-06
Restaurante,2022-10-22,Ifood       *ifood,83.49,2025-03-06
Alimentação,2022-10-22,Cornershop Brasil Tecn,45.97,2025-03-06
Alimentação,2022-10-22,Cornershop Brasil Tecn,275.66,2025-03-06
Restaurante,2022-10-23,Ifood       *ifood,134.84,2025-03-06
Alimentação,2022-10-25,Cornershop Brasil Tecn,167.91,2025-03-06
Restaurante,2022-10-26,Outback Mtro Santa Cru,100.45,2025-03-06
Planos,2022-08-23,Web Premios *iuppr03/03,60.79,2025-03-06
Planos,2022-09-09,Mercadolivre*merca02/06,16.65,2025-03-06
Planos,2022-09-09,Mercadolivre*mercadol,-0.25,2025-03-06
Pet,2022-09-27,Amazon.com.br,49.99,2025-03-06
Utilidade Casa,2022-09-27,Mercadolivre*mercadol,11.24,2025-03-06
Utilidade Casa,2022-09-27,Pg *flash Compras 01/04,50.49,2025-03-06
Utilidade Casa,2022-09-27,Amazon.com.br     01/06,54.12,2025-03-06
Manutenção,2022-09-27,Amazon.com.br     01/02,72.07,2025-03-06
Eletrônico,2022-09-27,Mercadolivre*merca01/06,12.13,2025-03-06
Utilidade Casa,2022-09-29,Mercadolivre*acflvari,134.99,2025-03-06
Restaurante,2022-10-03,Ifd*osnir Hamburguer,25.89,2025-03-06
Utilidade Casa,2022-10-03,Openbox 2         01/03,58.77,2025-03-06
Eletrônico,2022-10-04,Mercadolivre*merca01/06,14.64,2025-03-06
Outros,2022-10-05,Ebw*shopee        01/03,20.01,2025-03-06
Alimentação,2022-10-07,Market4u*compra*912078,17.48,2025-03-06
Restaurante,2022-10-07,Market4u*compra*912087,0.01,2025-03-06
Outros,2022-10-07,Mercadolivre*mercadol,76.6,2025-03-06
Outros,2022-10-07,Mercadolivre*merca01/03,6.64,2025-03-06
Alimentação,2022-10-08,Market4u*compra*915331,11.89,2025-03-06
Seguro,2022-10-10,Bradesco Seguros Auto,83.56,2025-03-06
Eletrônico,2022-10-11,Amazon.com.br,23.62,2025-03-06
Restaurante,2022-10-12,Amazonprimebr,12.1,2025-03-06
Assinatura,2022-10-13,Google Storage,34.99,2025-03-06
Alimentação,2022-10-14,Market4u*compra*926243,9.66,2025-03-06
Outros,2022-10-17,Ebw*shopee        01/02,15.26,2025-03-06
Outros,2022-10-17,Ebw*shopee        01/02,15.16,2025-03-06
Pet,2022-10-18,Amazon Marketplace01/03,50.0,2025-03-06
Assinatura,2022-10-19,Google Youtubepremium,18.1,2025-03-06
Internet,2022-10-20,Tbra,259.64,2025-03-06
Restaurante,2022-10-21,Market4u*compra*941085,9.69,2025-03-06
Utilidade Casa,2022-10-22,Brastemp E Rede   01/10,208.9,2025-03-06
Alimentação,2022-10-26,Market4u*compra*949724,10.0,2025-03-06
Aluguel,2022-08-19,Quintoandar       02/05,45.8,2025-03-06
Assinatura,2022-08-28,Anuidade Diferenci03/08,54.0,2025-03-06
Restaurante,2022-09-09,Jafe Lanchet-ct  Ltda,51.52,2025-03-06
Planos,2022-09-09,Unidas Locadora Sao3,22.0,2025-03-06
Utilidade Casa,2022-09-09,Leroy Merlin      01/04,109.73,2025-03-06
Planos,2022-09-10,Leroy Merlin,185.86,2025-03-06
Combustível,2022-09-10,Auto Posto F-ct  Aerea,25.21,2025-03-06
Restaurante,2022-09-10,Quitanda Ana Carolina,7.1,2025-03-06
Utilidade Casa,2022-09-11,Telha Norte -ct,64.53,2025-03-06
Combustível,2022-09-11,Centro A A M Ltda,155.11,2025-03-06
Planos,2022-09-11,Elaza Comercial Vareji,155.0,2025-03-06
Planos,2022-09-11,Elaza Comercial Va01/10,290.0,2025-03-06
Eletrônico,2022-09-12,Raquel Barbo-ct Iniz F,40.0,2025-03-06
Alimentação,2022-09-13,Francisco Me-ct,32.0,2025-03-06
Alimentação,2022-09-13,Pag*silviolu-ct Mara,19.0,2025-03-06
Alimentação,2022-09-13,Naldo Feirante,17.0,2025-03-06
Assinatura,2022-09-13,Google Storage,34.99,2025-03-06
Eletrônico,2022-09-13,Aliexpress        01/06,20.87,2025-03-06
Eletrônico,2022-09-13,Aliexpress        01/06,20.1,2025-03-06
Utilidade Casa,2022-09-14,Lojao De Var-ct Des 7,66.4,2025-03-06
Planos,2022-09-14,Chaveiro Dua-ct,52.0,2025-03-06
Pet,2022-09-15,Cobasi Imigrantes 01/03,116.64,2025-03-06
Vestimenta,2022-09-16,Dm*sheincom,97.32,2025-03-06
Alimentação,2022-09-16,Bandeirantes,28.1,2025-03-06
Vestimenta,2022-09-16,Renner            01/05,43.96,2025-03-06
Assinatura,2022-09-18,Microsoft*store,44.99,2025-03-06
Alimentação,2022-09-20,Ramalho Frut-ct,6.0,2025-03-06
Alimentação,2022-09-20,Pag*silviolu-ct Mara,4.0,2025-03-06
Alimentação,2022-09-20,Pag*edvaldod-ct Us,10.0,2025-03-06
Planos,2022-09-20,Pag*luizcarl-ct S,22.0,2025-03-06
Alimentação,2022-09-20,Bofinhoprese-ct,5.0,2025-03-06
Alimentação,2022-09-20,Progresso   -ct,7.0,2025-03-06
Alimentação,2022-09-20,Cacchero,6.0,2025-03-06
Restaurante,2022-09-21,Market4u*compra*882149,0.01,2025-03-06
Utilidade Casa,2022-09-21,Lojao De Var-ct Des 7,58.0,2025-03-06
Produtos Saúde,2022-09-21,Drogaria Pau-ct O Ltd,15.0,2025-03-06
Restaurante,2022-09-22,Shopping Pla-ct Ul,11.1,2025-03-06
Utilidade Casa,2022-09-22,Daiso Brasil-ct,41.96,2025-03-06
Pet,2022-09-15,Clin Vet Pet-ct La01/02,145.5,2025-03-06
Pet,2022-09-19,Cobasi Ricardo Jafet S,165.6,2025-03-06
Pet,2022-09-19,Clin Vet Pets Island,104.0,2025-03-06
Planos,2022-08-23,Web Premios *iuppr02/03,60.79,2025-03-06
Planos,2022-08-23,Web Premios *iuppresga,-0.02,2025-03-06
Assinatura,2022-08-29,Conectcar   *conectcar,50.0,2025-03-06
Planos,2022-08-30,Kabum,4053.48,2025-03-06
Planos,2022-08-31,Carrefour Ecj,3711.17,2025-03-06
Planos,2022-08-31,Mercadolivre*mercadol,131.7,2025-03-06
Planos,2022-08-31,Mercadolivre*mercadol,146.24,2025-03-06
Planos,2022-09-01,Ammo Varejo*santista,190.48,2025-03-06
Planos,2022-09-02,Unidas Locadora Sa,216.62,2025-03-06
Planos,2022-09-06,Mercadolivre*mercadol,384.63,2025-03-06
Planos,2022-09-06,Mercadolivre*mercadol,32.9,2025-03-06
Seguro,2022-09-09,Bradesco Seguros Auto,83.57,2025-03-06
Planos,2022-09-09,Mercadolivre*mercadol,102.49,2025-03-06
Planos,2022-09-09,Mercadolivre*merca01/06,16.65,2025-03-06
Pet,2022-09-12,Petlove*order10678471,457.82,2025-03-06
Eletrônico,2022-09-15,Amazon.com.br,63.66,2025-03-06
Assinatura,2022-09-19,Google Youtubepremium,18.1,2025-03-06
Assinatura,2022-09-22,Conectcar   *conectcar,50.0,2025-03-06
Assinatura,2022-09-03,Www*Bastter,189.9,2025-03-06
Planos,2022-09-04,Shopee*171555139931817,89.59,2025-03-06
Exterior,2022-09-05,"IOF de ""Pasteis de Belem""",2.53,2025-03-06
Exterior,2022-09-05,"IOF de ""Glovo 04sep Li6vpjgtg""",3.22,2025-03-06
Exterior,2022-09-05,"IOF de ""Lidl Agradece""",7.1,2025-03-06
Exterior,2022-09-05,"IOF de ""Pao Pao Queijo Queij""",5.59,2025-03-06
Exterior,2022-09-05,Lidl Agradece,155.17,2025-03-06
Exterior,2022-09-05,Pasteis de Belem,39.66,2025-03-06
Exterior,2022-09-05,Pao Pao Queijo Queij,87.67,2025-03-06
Exterior,2022-09-05,Glovo 04sep Li6vpjgtg,50.45,2025-03-06
Exterior,2022-09-08,"IOF de ""Lisbon Dts Walkthrou""",10.01,2025-03-06
Exterior,2022-09-08,"IOF de ""Auto Taxis Lda""",6.1,2025-03-06
Alimentação,2022-09-08,Cpq Brasil,31.0,2025-03-06
Exterior,2022-09-08,Auto Taxis Lda,134.87,2025-03-06
Exterior,2022-09-08,Lisbon Dts Walkthrou,189.02,2025-03-06
Celular,2022-09-13,Vivo Easy*Easy Prime,29.99,2025-03-06
Necessários,2022-09-27,Pag*Thiagodiasmoretti,32.0,2025-03-06
Assinatura,2022-07-28,Anuidade Diferenci02/08,54.0,2025-03-06
Assinatura,2022-08-10,Google Storage,34.99,2025-03-06
Planos,2022-08-19,Brinox*brinoxshop,615.25,2025-03-06
Planos,2022-08-19,Quintoandar       01/05,45.8,2025-03-06
Assinatura,2022-08-19,Google Youtubepremium,18.1,2025-03-06
Planos,2022-08-20,Mobly       *mobly,889.63,2025-03-06
Planos,2022-08-21,Kabum,1117.65,2025-03-06
Planos,2022-08-21,Loucas Oxfor*oxfordpor,409.12,2025-03-06
Planos,2022-08-22,Mercadolivre*mercadoli,157.98,2025-03-06
Planos,2022-08-22,Mercadolivre*mercadol,229.7,2025-03-06
Planos,2022-08-24,Mercadolivre*batassin,139.94,2025-03-06
Planos,2022-08-26,Mercadolivre*mercadol,69.8,2025-03-06
Planos,2022-08-26,Mercadolivre*mercadol,48.39,2025-03-06
Assinatura,2022-08-18,Microsoft*subscription,44.99,2025-03-06
Planos,2022-08-22,Mobly*mobly 795634226,409.88,2025-03-06
Planos,2022-08-23,Mobly       *mobly,511.1,2025-03-06
Planos,2022-08-23,Brastemp E Rede,677.9,2025-03-06
Planos,2022-08-23,Kabum,132.55,2025-03-06
Planos,2022-08-23,Web Premios *iuppr01/03,60.79,2025-03-06
Planos,2022-08-24,Mobly       *mobly,616.13,2025-03-06
,,,154.88,2025-03-06
Assinatura,,Google Play,13.74,2025-03-06
Celular,,Vivo Easy,2.99,2025-03-06
Assinatura,,Google Storage,9.99,2025-03-06
Seguro,2022-01-26,Bradesco Seguros A06/06,280.3,2025-03-06
Assinatura,2022-05-28,Anuidade Diferenci02/12,72.0,2025-03-06
Assinatura,2022-06-06,Google Youtube Member,2.99,2025-03-06
Assinatura,2022-06-19,Google Youtubepremium,18.1,2025-03-06
