lancamento,categoria
COURSRA*7Z20LY32FNLYZV,Curso
A MEDIUM CORPORATION,Curso
COURSRA*8YKORZW7PZNYPU,Curso
DATACAMP INC.,Curso
AMAZON WEB SERVICES,Curso
DATACAMP INC.,Curso
Datacamp Inc.,Curso
DATACAMP INC.,Curso
"IOF de ""Datacamp Inc.""",Curso
COURSRA*7Z20LY32FNLYZV,Curso
Coursera.Org,Curso
COURSERA.ORG,Curso
SYMPLA 25U9C6RJ0ND,Curso
AMAZON WEB SERVICES,Curso
COURSERA.ORG,Curso
COURSERA.ORG,Curso
A MEDIUM CORPORATION,Curso
SHOPEE*956356288796885,Eletrônico
SHOPEE *GCMACESSORIOS,Eletrônico
Ebanx*Shopee 5/6,Eletrônico
SHOPEE *AGSELETRONICAL,Eletrônico
Amazon.com.br,Eletrônico
SHOPEE *PRIMEIROSDANET,Eletrônico
Shopee *Iasbateria 2/2,Eletrônico
AMAZON BR,Eletrônico
ALIEXPRESS,Eletrônico
SHOPEE*183567143181331,Eletrônico
Kabum             05/10,Eletrônico
Mercadolivre*merca04/06,Eletrônico
AMAZON BR,Eletrônico
Ebanx*Shopee 6/6,Eletrônico
Aliexpress        06/06,Eletrônico
Mercadolivre*merca10/10,Eletrônico
KALUNGA JABAQUARA BRAD,Eletrônico
Mercadolivre*merca03/06,Eletrônico
SHOPEE*183567143181331,Eletrônico
SHOPEE *SHPSTECNOLOGIA,Eletrônico
SHOPEE,Eletrônico
Aliexpress        04/06,Eletrônico
ALIEXPRESS,Eletrônico
SHOPEE*956356288796885,Eletrônico
Kabum             01/10,Eletrônico
Conectcar   *conectcar,Estacionamento
ESTAPAR*ZAD*SAO*PAULO,Estacionamento
EXECUTIVO PARK,Estacionamento
ESTAPAR*ZAD*SAO*PAULO,Estacionamento
Transação de NuTag,Estacionamento
connectcar,Estacionamento
Transação de NuTag,Estacionamento
Raf Parking -ct Ac Ltd,Estacionamento
Transação de NuTag,Estacionamento
Aliansce Estacionament,Estacionamento
ESTAPAR*ZAD*SAO*PAULO,Estacionamento
Transação de NuTag,Estacionamento
Conectcar   *conectcar,Estacionamento
Transação de NuTag,Estacionamento
ESTAPAR*ZAD*SAO*PAULO,Estacionamento
HOSP S CAMILO IPIRANGA,Estacionamento
Centro Automotivo Ab,Estacionamento
AL ESTACIONAMENTO,Estacionamento
Transação de NuTag,Estacionamento
Conectcar   *conectcar,Estacionamento
Transação de NuTag,Estacionamento
Transação de NuTag,Estacionamento
PAG*PARK88,Estacionamento
connectcar,Estacionamento
ESTAPAR*ZAD*SAO*PAULO,Estacionamento
Auto Taxis Lda,Exterior
Pao Pao Queijo Queij,Exterior
"IOF de ""Pao Pao Queijo Queij""",Exterior
"IOF de ""Lisbon Dts Walkthrou""",Exterior
"IOF de ""Auto Taxis Lda""",Exterior
Pasteis de Belem,Exterior
"IOF de ""Pasteis de Belem""",Exterior
"IOF de ""Glovo 04sep Li6vpjgtg""",Exterior
"IOF de ""Lidl Agradece""",Exterior
Lidl Agradece,Exterior
Glovo 04sep Li6vpjgtg,Exterior
Lisbon Dts Walkthrou,Exterior
EBW*SHOPEE,Ferramentas
Mercpag*Lsferramentas 9/10,Ferramentas
Shopee *Espaodigital,Ferramentas
PARC=102MERCADOPAGO*MERCA,Ferramentas
Desconto Antecipação Mercpag*Lsferramentas,Ferramentas
AMAZON BR,Ferramentas
Mercadolivre*mercadoli,Ferramentas
MP*VSRMOTOS,Ferramentas
SHOPEE*165334910988130,Ferramentas
AMAZON BR,Ferramentas
AMAZON.COM.BR,Ferramentas
MERCADOLIVRE*PALACIODASFE,Ferramentas
MERCADOLIVRE*PALACIODASFE,Ferramentas
Amazon,Ferramentas
MERCADOLIVRE*PALACIODASFE,Ferramentas
DAISO BRASIL,Ferramentas
Vindi *Voolt3d - Parcela 4/4,Ferramentas
Aliexpress - Parcela 6/8,Ferramentas
SHOPEE *OBRAPLIN,Ferramentas
MP*VSRMOTOS,Ferramentas
Vindi *Voolt3d 2/4,Ferramentas
MP*VSRMOTOS,Ferramentas
Aliexpress - Parcela 4/8,Ferramentas
Shopee *Espaodigital,Ferramentas
ALIEXPRESS,Ferramentas
AMAZON.COM.BR,Higiene Pessoal
AMAZON BR,Higiene Pessoal
Hna*oboticar-ct,Higiene Pessoal
AMAZON BR,Higiene Pessoal
AMAZON BR,Higiene Pessoal
Conta Vivo,Internet
CONTA VIVO,Internet
Tbra,Internet
CONTA VIVO,Internet
CONTA VIVO,Internet
CONTA VIVO,Internet
CONTA VIVO,Internet
CONTA VIVO,Internet
CONTA VIVO,Internet
CONTA VIVO,Internet
CONTA VIVO,Internet
CONTA VIVO,Internet
CONTA VIVO,Internet
Conta Vivo,Internet
VIVO EASY,Internet
CONTA VIVO,Internet
CONTA VIVO,Internet
VIVO EASY,Internet
Conta Vivo,Internet
Tbra,Internet
VIVO EASY,Internet
CONTA VIVO,Internet
CONTA VIVO,Internet
CONTA VIVO,Internet
CONTA VIVO,Internet
LAVAGEM EXP AQUARIUS,Lavagem
LAVAGEM EXP AQUARIUS,Lavagem
AMAZON BR,Livros
Amazon.com.br,Livros
Google Play,Livros
DL*GOOGLE PLAY B,Livros
AMAZON.COM.BR,Livros
Amazon.com.br,Livros
AMAZON BR,Livros
MANNING 203-626-1510,Livros
AMAZON BR,Livros
DL*GOOGLE PLAY B,Livros
Google Play,Livros
"IOF de ""Amzn Mktp Es*2503z0844""",Livros
Amzn Mktp Es*2503z0844,Livros
PACKT PUBLISHING LTD,Livros
MANNING 203-626-1510,Livros
AMAZON BR,Livros
PACKT PUBLISHING LTD,Livros
AMAZON BR,Livros
dólar de conversão,Locomoção
Uber   *uber   *trip,Locomoção
Uber* Trip,Locomoção
Iof Parcelado Emissor,Locomoção
Uber *Trip,Locomoção
Uber   *uber   *trip,Locomoção
Uber   *uber   *trip,Locomoção
Uber   *uber   *trip,Locomoção
Uber *trip Help.uber.c,Locomoção
dólar de conversão,Locomoção
Uber* Trip,Locomoção
PIX TRANSF  FILIPE 28/04,Locomoção
UBER   *UBER   *TRIP,Locomoção
"IOF de ""Uber *Trip Help.Uber.C""",Locomoção
Uber *Eats Help.Uber.C,Locomoção
"IOF de ""Uber *Eats Help.Uber.C""",Locomoção
Uber *Trip Help.Uber.C,Locomoção
"IOF de ""Uber *Trip""",Locomoção
Uber *Trip,Locomoção
Uber* Trip,Locomoção
Uber* Trip,Locomoção
Uber* Trip,Locomoção
Uber* Trip,Locomoção
Uber* Trip,Locomoção
"IOF de ""Uber *Trip""",Locomoção
MERCADOLIVRE*MARQUESPECAS,Manutenção
MERCADOLIVRE*3PRODUTOS,Manutenção
Mercadocar 5/5,Manutenção
MERCADOLIVRE*HIPERVAREJO,Manutenção
MERCADOLIVRE*3PRODUTOS,Manutenção
Amazon,Manutenção
Mercadolivre*merca03/03,Manutenção
Mercadolivre*Machadod - Parcela 4/5,Manutenção
AUTOZONE,Manutenção
Mercadolivre*Mercadol,Manutenção
Amazon,Manutenção
MERCADOLIVRE*HIPERVAREJO,Manutenção
Amazon,Manutenção
Mercadolivre*Lojayama,Manutenção
Amazon.com.br     02/02,Manutenção
MERCADOLIVRE*MARQUESPECAS,Manutenção
MERCADOLIVRE*3PRODUTOS,Manutenção
MERCADOLIVRE*MARQUESPECAS,Manutenção
Mercadolivre*merca01/03,Manutenção
Tokio Motors - Parcela 4/4,Manutenção
SHOPEE*PERSONALIZE REVEST,Manutenção
Amazon.com.br     01/02,Manutenção
Mercadolivre*merca01/03,Manutenção
Amazon,Manutenção
AUTOZONE,Manutenção
SHOPEE *AGSELETRONICAL,Nan
SHO*VITRIAMULTIVEND,Nan
,Nan
SHOPEE *AGSELETRONICAL,Nan
MERCADOLIVRE*VICENCIOCOME,Nan
MERCADOLIVRE*LEOINFO,Necessários
SHOPEE,Necessários
GOL LINHAS A*GXRH,Necessários
MERCADOLIVRE*LEOINFO,Necessários
GLEISER LOMAS DOS SANT,Necessários
MERCADOLIVRE*LEOINFO,Necessários
VIVARA PLA,Necessários
SHOPEE,Necessários
SHOPEE,Necessários
PAG*CHILLIBEANS,Necessários
PAG*CHILLIBEANS,Necessários
Mercadolivre*123smart,Necessários
SHOPEE*LILY SPACE,Necessários
Amazon-marketplace,Necessários
GOL LINHAS A*GXRH,Necessários
GOL LINHAS A*GXRH,Necessários
Loft Quiosqu-ct,Necessários
Pag*Thiagodiasmoretti,Necessários
Amazon.com.br,Necessários
SHOPEE*140791990030303,Necessários
GOL LINHAS A*GXRH,Necessários
Mercadolivre*Mercadol 4/4,Necessários
AMAZON-MARKETPLACE,Necessários
Amazon-marketplace,Necessários
MERCADOLIVRE*LEOINFO,Necessários
CRESCO COMERCIO D,Opcionais
MARIA ZITA DOS SANTOS,Opcionais
EC          *EDUARDO,Opcionais
SHOPEE*CHIRLI BERG,Opcionais
CGK COMERCIAL LTDA,Opcionais
Cgk Comercial Ltda,Opcionais
SHOPEE*CHIRLI BERG,Opcionais
VALDILENE BENTO D,Opcionais
PARC=104MERCADOPAGO*MERCA,Opcionais
Zp          *itau 02/02,Opcionais
Zp          *itau 01/02,Opcionais
PAYGO*HOBBY TRADE CENT,Outros
SYMPLATTRS  *SYMPLA,Outros
SHPP BRASIL SERVICOS D,Outros
TALENTO PRODUTOS DE ARTES,Outros
ZP     *SYMPLA 6H4H4B,Outros
SHOPEE *SHPSTECNOLOGIA,Outros
STEAMGAMES.COM 4259522985,Outros
LEITURA,Outros
Pag*steam         03/03,Outros
Ebw*shopee        02/02,Outros
PARC=103MERCADOPAGO*ELLOF,Outros
SHOPEE*159630566386799,Outros
Shopee *Supertofushop,Outros
PBKIDS BRINQUEDOS LTDA,Outros
Mp *Dryco,Outros
SHOPEE *SHPSTECNOLOGIA,Outros
SHOPEE*159630566386799,Outros
Leroy Merlin,Outros
CULTS3D.COM,Outros
SHPP BRASIL SERVICOS D,Outros
KALUNGA JABAQUARA,Outros
SHPP BRASIL SERVICOS D,Outros
SHPP BRASIL SERVICOS D,Outros
Mercadolivre*merca02/03,Outros
STEAMGAMES.COM 4259522985,Outros
PAG*LUIZCARLOSDOS,Pet
PAG*LUIZCARLOSDOS,Pet
COBASI IMIGR*COBA,Pet
Cobasi Imigrantes 02/04,Pet
PARC=104MERCADOPAGO*MERCA,Pet
LUIZCARLOSDOS,Pet
COBASI RICARDO JA,Pet
Cobasi Imigrantes 01/03,Pet
Openbox 2,Pet
MERCADOLIVRE*OLISTSERVICO,Pet
Cobasi-O Shopping do,Pet
COBASI IMIGRANTES,Pet
PAG*LUIZCARLOSDOS,Pet
Cobasi Imigr-ct S,Pet
Cobasi-O Shopping do 2/2,Pet
DROGARIA ONL*DROGARIA ONL,Pet
MERCADOLIVRE*OLISTSERVICO,Pet
COBASI IMIGRANTES,Pet
Amazon Marketplace01/03,Pet
Cobasi Sao Caetano01/02,Pet
LUIZCARLOSDOS,Pet
COBASI RICAR*COBASI,Pet
AMAZON BR,Pet
AMAZON BR,Pet
MERCADOLIVRE*KAVJUPETSHOP,Pet
Mercadolivre*merca05/06,Planos
Kabum,Planos
MONTECARLO,Planos
Compra de Pontos Latam 3/3,Planos
Carrefour Com,Planos
Shopee *Fitasmdf,Planos
Leroy Merlin,Planos
AZUL WE*HCU6VLBRITO,Planos
AZUL WE*WDVIQLBRITO,Planos
Brinox*brinoxshop,Planos
LEROY MERLIN,Planos
AZUL WE*WDVIQLBRITO,Planos
Elaza Comercial Va03/10,Planos
Mobly Comerc*Mobly,Planos
Mercadolivre*mercadol,Planos
DRIVE SP  AV RICA,Planos
SHOPEE *NEWDENTALE,Planos
OBRAMAX ATACADO DE CON,Planos
MONTECARLO,Planos
SHOPEE *NEWDENTALE,Planos
Obramax Atacado de Con,Planos
Precolandia,Planos
Aliexpress,Planos
AZUL WE*HCU6VLBRITO,Planos
EC *MOVEISAQUI,Planos
Vivara Eco*44230586850 2/2,Presentes
MERCADOLIVRE*DELUCAJOIAS,Presentes
SP MEGA SH PLAZA,Presentes
MERCADOLIVRE*ROSARIOTHEGL,Presentes
PAG*RENNER,Presentes
MONTECARLO,Presentes
PARC=103HS SHOP PLAZA S,Presentes
AMAZON.COM.BR,Presentes
PAG*LEITURA,Presentes
MONTECARLO,Presentes
MONTECARLO,Presentes
DAISO BRASIL,Presentes
MERCADOLIVRE*DELUCAJOIAS,Presentes
Hna*Oboticario,Presentes
MERCADOLIVRE*DELUCAJOIAS,Presentes
MERCADOLIVRE*DELUCAJOIAS,Presentes
"IOF de ""Amazon.Es*2c7j35mf4 Am""",Presentes
MONTECARLO,Presentes
Amazon.Es*2c7j35mf4 Am,Presentes
MONTECARLO,Presentes
MONTECARLO,Presentes
PARC=103HS SHOP PLAZA S,Presentes
MONTECARLO,Presentes
AMAZON.COM.BR,Presentes
MERCADOLIVRE*DELUCAJOIAS,Presentes
DROGARIA SAO PAULO 002,Produtos Saúde
DRA CLAUDIA PRECIOSO,Produtos Saúde
Drogaria Sao Paulo461,Produtos Saúde
Drogaria Sao Paulo02/02,Produtos Saúde
ACQX COMERCIO DE OCULO,Produtos Saúde
DROGARIA ONLINE,Produtos Saúde
DRA CLAUDIA PRECIOSO,Produtos Saúde
DROGARIA SAO PAULO 002,Produtos Saúde
DROGARIA SAO PAULO 002,Produtos Saúde
NATUS OTICA II,Produtos Saúde
AMAZON.COM.BR,Produtos Saúde
DROGARIA SAO PAULO 671,Produtos Saúde
DROGARIA SAO PAULO 671,Produtos Saúde
Pag*Chillibeans 4/4,Produtos Saúde
NATUS OTICA II,Produtos Saúde
RAYBAN *RAYBAN BRAZIL,Produtos Saúde
DROGARIA ONLINE,Produtos Saúde
DRA CLAUDIA PRECIOSO,Produtos Saúde
DROGARIA SAO PAULO 002,Produtos Saúde
Drogaria Sao Paulo - Parcela 3/3,Produtos Saúde
NATUS OTICA II,Produtos Saúde
DROGARIA SAO PAULO 002,Produtos Saúde
DROGARIA SAO PAULO461,Produtos Saúde
Drogaria Sao-ct Lo 002,Produtos Saúde
Ultrafarma Loja 7 03/03,Produtos Saúde
ZENKLUB.COM.BR,Psicóloga
ZENKLUB.COM.BR,Psicóloga
ZENKLUB.COM.BR,Psicóloga
ZENKLUB.COM.BR,Psicóloga
ZENKLUB.COM.BR,Psicóloga
ZENKLUB.COM.BR,Psicóloga
ZENKLUB.COM.BR,Psicóloga
ZENKLUB.COM.BR,Psicóloga
ZENKLUB.COM.BR,Psicóloga
IFOOD  *IFD*ESFIHA IM,Restaurante
IFD*MCDONALDS - CURSINOC,Restaurante
IFOOD  *IFD*PATTIES V,Restaurante
OUTBACK PLAZA SUL,Restaurante
Ifd*Roseli Hortencia V,Restaurante
PAG*CERVEJARIAVANBEEN,Restaurante
Ifd*Osnir Hamburger,Restaurante
MARKET4U*COMPRA*182796,Restaurante
IFOOD  *IFD*PATTIES V,Restaurante
Carlos Bakery Eldorado,Restaurante
IFOOD  *IFD*PATTIES V,Restaurante
MR PRETZELS - MOOCA,Restaurante
OPM OUTLET PREMIUM,Restaurante
Ifd*Mimic Fornecimento,Restaurante
IFOOD  *IFD*PATTIES V,Restaurante
SHOPPING PLAZA SUL,Restaurante
KALUNGA SHOPPING,Restaurante
IFD*DEX INVEST COMERCIO E,Restaurante
IFD*PIAZZA COMERCIO DE AL,Restaurante
IFD*ACAIBERRY INDUSTRIA E,Restaurante
IFOOD  *IFD*MCDONALDS,Restaurante
IFOOD  *IFD*PATTIES V,Restaurante
RESTAURANTE BOM TEMPERO,Restaurante
ANAPAULAJSILVA,Restaurante
PH FCD SB SAUDE,Restaurante
AZUL SEGURO AUTO,Seguro
Bradesco Seguros A03/06,Seguro
Bradesco Seguros Auto,Seguro
AZUL SEGURO AUTO,Seguro
Bradesco Seguros A02/06,Seguro
Bradesco Seguros A05/06,Seguro
Bradesco Seguros A01/06,Seguro
AZUL SEGURO AUTO,Seguro
AZUL SEGURO AUTO,Seguro
AZUL SEGURO AUTO,Seguro
AZUL SEGURO AUTO,Seguro
Bradesco Seguros A06/06,Seguro
AZUL SEGURO AUTO,Seguro
AZUL SEGURO AUTO,Seguro
AZUL SEGURO AUTO,Seguro
AZUL SEGURO AUTO,Seguro
AZUL SEGURO AUTO,Seguro
AZUL SEGURO AUTO,Seguro
Bradesco Seguros Auto,Seguro
AZUL SEGURO AUTO,Seguro
AZUL SEGURO AUTO,Seguro
Bradesco Seguros Auto,Seguro
AZUL SEGURO AUTO,Seguro
AZUL SEGURO AUTO,Seguro
AZUL SEGURO AUTO,Seguro
Vivo Easy*Easy Prime,Telefone
Vivo Easy*Saldo,Telefone
CARREFOUR COM,Utilidade Casa
SHOPEE,Utilidade Casa
MERCADOLIVRE*JLSELETRO,Utilidade Casa
Daiso Brasil-ct,Utilidade Casa
Shopee *Abcfixadores,Utilidade Casa
AMAZON BR,Utilidade Casa
MERCADOLIVRE*MMPLACE,Utilidade Casa
AMAZON.COM.BR,Utilidade Casa
AMAZON MARKETPLACE,Utilidade Casa
DAISO BRASIL,Utilidade Casa
AMAZON.COM.BR,Utilidade Casa
ALIEXPRESS,Utilidade Casa
AMAZON.COM.BR,Utilidade Casa
Amazon,Utilidade Casa
Brastemp E Rede   09/10,Utilidade Casa
MP*PRO4CEINTERPL,Utilidade Casa
Amazon.com.br,Utilidade Casa
Elaza Comercial Va09/10,Utilidade Casa
Telha Norte -ct,Utilidade Casa
Openbox 2         01/03,Utilidade Casa
Telha Norte -ct,Utilidade Casa
TELHA NORTE,Utilidade Casa
DAISO BRASIL,Utilidade Casa
Shopee *Mdbrasilatacad,Utilidade Casa
Amazon,Utilidade Casa
Fila,Vestimenta
FILA BR,Vestimenta
FILA ITUPEVA,Vestimenta
ADIDAS,Vestimenta
Ecommerce Mi*Mizuno Br,Vestimenta
MLP*NETSHOES,Vestimenta
FILA ITUPEVA,Vestimenta
MLP*NETSHOES,Vestimenta
CEA SCN 160 ECPC,Vestimenta
CEA SPS 250 ECPC,Vestimenta
Renner 2/2,Vestimenta
Cea Sps 250,Vestimenta
Renner,Vestimenta
PARC=104RENNER,Vestimenta
Lojas Renner Fl 5202/02,Vestimenta
CENTAURO CE35,Vestimenta
CEA SPS 250 ECPC,Vestimenta
CR          *CHICO REI,Vestimenta
CROCS BRASIL*CROC,Vestimenta
DL          *SHEINBR,Vestimenta
CR          *CHICO REI,Vestimenta
Renner            03/05,Vestimenta
LOJAS RENNER FL 52,Vestimenta
CR          *CHICO REI,Vestimenta
CR          *CHICO REI,Vestimenta
FARMA PORTO,Viagem
Uber Uber *Trip Help.U,Viagem
PAUBA BEACH,Viagem
"Crédito de ""Et Car Hire""",Viagem
ESPACO DO NORDESTE,Viagem
"IOF de ""Et Car Hire""",Viagem
CASA DO ARTESANATO,Viagem
AZUL WE*SHYV7MRODRIGU,Viagem
PARC=103MERCADOLIVRE*MERC,Viagem
PAUBA BEACH,Viagem
ZENKLUB.COM.BR,Viagem
Uber Uber *Trip Help.U,Viagem
MERCADOLIVRE*MERCADOLI,Viagem
BOM GOSTO EMPORIO,Viagem
PAG*SORVETERIA,Viagem
5M COMERCIO ATACADISTA,Viagem
AZUL WE*SHYV7MRODRIGU,Viagem
KARTODROMO INTERNACIONAL,Viagem
CORNERSHOP,Viagem
BALAIO DE GATO I,Viagem
PAUBA BEACH,Viagem
ESPETARIA MARESIAS,Viagem
AZUL WE*SHYV7MRODRIGU,Viagem
POUSADA VILLA BLU,Viagem
PAG*SORVETERIA,Viagem
